,diasourceid,ssobjectid,midpointtai,mag,filter,heliocentricx,heliocentricy
0,3764290031052736344,-3719058376613038191,60042.23418721439,19.616201,y,-1.9029969968103542,-0.3341648211967902
1,-4279853295036903966,-5870451758508518563,60042.41477768498,19.826777,y,-0.23172562246906467,-1.8740758813397385
2,472021221567057027,-2367103319268343107,60042.41705236971,18.114674,y,0.30031681038330266,-1.8297664202656632
3,8563803786002198356,7115955564645365335,60042.11293350839,19.836767,y,-1.7607789378469805,0.2795858610254662
4,-4925953089882847576,5570486952510067468,60042.412508925496,20.794983,y,-0.5775426684721346,-1.8627248603262747
5,5958898317949302311,-2675532161679155897,60041.99696853905,19.332277,i,-1.6644521630589193,0.911719344200983
6,6543132101455997659,4084986426018998735,60042.382883617116,21.363564,y,-0.13248616469401253,-1.4216573447026717
7,8169670658338681802,3025978269724025710,60042.20383438114,20.557852,y,-1.8525057526510436,-0.3350677019540911
8,1786313638230646681,935394357477699141,60041.98917711151,18.949184,r,-1.6237428203220958,0.788978385833023
9,3001138614216141839,-1127052740990817809,60042.33448311316,20.327496,y,-1.050908195794583,-1.0159949966691466
10,-654221680753574798,3846635782416288615,60042.175259257776,21.622356,y,-1.972157849304698,0.1860640341491662
11,1113614641437022099,7812069799283439773,60042.158630164224,21.395958,z,-1.9735819476915362,0.17664054571424
12,-1368100832423209438,7812069799283439773,60042.17480808233,21.364492,y,-1.9735666703929158,0.1764523343828987
13,-8773229408318361411,-275746756458615421,60042.19464260849,18.564922,y,-1.9146179096797753,-0.5515947027163399
14,-1019532296264736656,6817973505662861160,60042.18201975697,19.048405,y,-1.9182044738898283,-0.11341227843138822
15,8448512082760923918,-3784597498760919020,60042.089333607175,19.771978,z,-1.9199263229797459,0.3236446614258352
16,-5117874693005775265,3846635782416288615,60042.11922565754,21.428013,y,-1.9721217061431153,0.18668877284022456
17,1802404520372034024,8423565889502494740,60041.994302770465,22.674084,r,-1.7566636256356032,0.9038740483289581
18,5906942175914456174,-7065090309000932030,60042.384709277845,14.399862,y,-0.1102080624503325,-1.637139159332317
19,112834834625220547,2813443158685182375,60042.12911174717,21.131338,i,-1.941587349794908,0.1328191645322644
20,9029910097353904274,8924623464274461935,60042.034834398,20.57126,z,-1.9086911835549538,0.36157595700815043
21,7127606989825372611,-3719058376613038191,60042.20383438114,19.640148,y,-1.9030394605922794,-0.3337912063049422
22,677322318785835866,-7522227908323760301,60042.041696042725,18.05893,z,-1.8406620309120403,0.6240522578756703
23,-1125546259995653002,-3719058376613038191,60042.218804711134,19.636625,y,-1.9030185257826626,-0.3339754785689727
24,-380961998906992285,-3719058376613038191,60042.219221377796,19.71659,y,-1.9030179428634892,-0.33398060734568713
25,-8408439260442692220,-3550159652723987294,60042.210563087516,18.549524,y,-1.8156817050829424,-0.5521400573965746
26,-4095193974719760710,-7445298019021059323,60042.16450232698,16.881796,z,-1.8951506874746495,-0.13931966869143736
27,-6207669104950769353,2813443158685182375,60042.1453371629,21.18697,z,-1.9416130383466883,0.13261825188961002
