,diasourceid,ssobjectid,midpointtai,mag,filter,topocentricx,topocentricy
45896,2675753719546769662,-3258294768117691371,60042.20654226075,17.954872,y,-1.9488810725308214,-0.06596211698178037
220695,9139827116487050052,-8322714102412250217,60042.264363160146,21.193487,y,-1.1626334905406892,-0.010565558917228782
106318,-7955072263431629740,-5111443409000853571,60042.24414950089,21.493073,y,-1.5709112298601537,-0.09086079320047612
110035,281098017240806624,7659590528594381161,60042.11696727367,20.188875,y,-1.6402807370076877,0.5194268770393661
161012,7916661957163648452,9157614746454036955,60042.17883550558,22.10485,y,-1.9334709329861661,0.35158438995477953
46179,2329919143658541032,8768417607530209935,60042.267936334836,17.489927,y,-1.851863025413819,-0.19692684297315188
114916,-8710871737114444368,2072142394398736644,60042.210116497154,21.66561,y,-1.6538972463813602,-0.4506524509194275
89711,3706463917116691526,-8763284670515971563,60042.129561712194,22.803873,i,-1.754858873945086,0.6165737459952566
46720,2584894036440749147,-5599361601823293942,60042.20383438114,21.900986,y,-1.1738136978889335,-0.02692581495302171
35584,-2213022345867741554,-6668093048684490601,60042.09491603423,19.7728,z,-1.2997639731974113,0.7930979281921379
139840,8948785214381688223,-4870217300518595751,60042.18561050634,21.779093,y,-1.7649760913681305,0.71254688808326
163298,-2129205099584656036,8903816800675955730,60042.14399738112,22.562853,z,-1.2078180491505055,0.5877071113197265
142790,-894433745964271699,1681213868794676942,60042.23328997835,21.550934,y,-1.8256596610215674,-0.12218646864817868
202957,-4480519047491470955,276755382741542150,60042.22057484022,21.417334,y,-1.3491160433847076,-0.028949949396026783
235305,5279419979679486403,-6967583262016940437,60042.217007533196,21.429647,y,-0.9150495128901199,-0.07941722596364019
143275,-2120611185065456442,7739975885481532443,60042.16132189579,20.2211,z,-1.6020707709867494,0.42442094199356223
196942,-1839913749469226186,-913984689019582801,60042.25130557602,21.39329,y,-1.5692517870428573,-0.16300294852509856
72116,-4076262774488677734,6236191555737723861,60042.20519858273,20.581024,y,-1.1412024400959067,-0.046443909054766946
169010,-4397259537196378517,-6797546725572378001,60042.20248454655,22.037039,y,-1.188736096106851,0.002595452855669136
108325,-9220055959441778704,3229823793801499422,60042.02600807138,19.294344,z,-1.0565460039418246,1.0646780122184185
181684,6458363127177629035,5965763616509149333,60042.12821690763,22.54565,i,-1.2790389363565466,0.5567838709645483
223785,-7236467694970308575,6033872759912109118,60042.13628956722,22.386438,i,-1.6023193148862929,0.44512787763135975
135011,1428789538338686020,7127612151457102583,60042.09850413757,22.31438,z,-1.4566694525492865,0.7554351841605601
224958,-5358663961448707329,-649580495156153625,60042.25309350331,21.086178,y,-1.1593828629439011,-0.14460536603342855
142242,-3801287281884132198,6800110420514880534,60042.00768876009,22.01109,i,-1.1117687135742824,1.08421097089592
127563,-2925690200057507266,4265524732715769915,60042.090693420716,21.451303,z,-1.4616331812240553,0.8224627081872586
110922,3255512099207792953,9006776527298682916,60042.24180349734,21.776781,y,-1.671489871715595,-0.1622248816388081
142502,-1132657270103619213,1569948400869892046,60042.217007533196,20.983116,y,-1.4646217993997377,-0.13259553736790763
153344,-8871127019276497720,1733016878799498950,60042.192856211725,21.458633,y,-1.6913686788394269,-0.24011742281910628
64247,6585293016464445549,-1881590071463623972,60042.16540539156,22.859238,z,-1.8958105322905,0.35711592389084734
148702,7651975568143471957,7063677592699229465,60042.13770995654,19.705757,i,-1.0194029567278853,0.15097580850947312
193169,-3770856470526850124,-6919091846308440504,60042.157081479665,22.24091,z,-1.7467005868784184,0.8559177824644775
192127,-2966569759097015208,-507450715478164082,60042.24180349734,21.5825,y,-1.6102445300700392,-0.1963045025176482
10077,-2594603256951052874,1218575858046767672,60042.16042533601,16.149824,z,-1.7869441143901086,0.6131154979019596
61222,464686247609998523,-5955325857272979900,60042.14444249539,22.25403,z,-1.734708751690696,0.7995718132912415
124450,-4222468230398906203,6520448561309600732,60042.18426954241,20.223223,y,-1.2517743561440333,0.4446002814472211
224535,-9202368533341089681,-2497293693913637509,60042.03435172518,22.836878,z,-1.4665804254608503,1.029922333543269
93245,2591329528506659788,-5321691593068951902,60042.0649740635,22.609432,i,-1.5241510664413933,0.6689692860399068
182730,-2278114458974714275,-8455157009178158325,60042.15162242801,22.409187,z,-1.106742322172997,0.1469099020271129
81498,5583016328997633881,4490899483095571711,60042.23911924015,22.005398,y,-1.9340298477704336,-0.19486508271147254
60821,-5488401320448906351,6157739621417104937,60042.1901722492,20.490881,y,-1.3545052918291522,0.008428046233193329
70408,8373607111774763908,-3335241041660866109,60042.20922222689,21.59185,y,-1.6371783652748524,-0.3795824032654759
113492,574562048629506688,-1683052879159101873,60042.233739451876,20.523764,y,-1.950695865946973,0.03456132687548429
103651,107204339206214449,4014292963097597473,60042.20966958916,20.763397,y,-1.6390761464116048,-0.3721890534329777
30460,-1045416148653089318,-6040978306363195436,60042.23911924015,20.211943,y,-1.9800134738159731,-0.24247727959519616
52258,4395499124626063409,5829183591883548327,60042.00991589787,21.309275,i,-1.137892882403979,1.2366518958321617
135576,687772071042199997,6750467405005985390,60042.15296652403,21.653704,z,-1.3451980533017642,0.34928572528843876
102277,-4513181496095383624,3936010957255274550,60042.11786133293,20.219236,y,-1.6775184114296111,0.4137465703229107
59131,-7759288877951116720,1046735471935539000,60042.13726126032,16.517174,i,-0.9386993099032562,0.08119768535029577
227013,-4584156449457856812,8434695951280514702,60042.25443755652,21.67793,y,-1.4472212571041916,-0.22149003935006448
139697,6547108812045861881,-8440224373762188331,60042.004571197554,22.549507,i,-0.7212641825394466,1.5513884785911396
135901,7655137598124382348,-4711104087168884759,60042.09491603423,21.370922,z,-1.0475260353959288,0.6303208229468606
35222,-7693407987193787636,-5984533163770576496,60042.12687407785,19.200249,i,-1.0496425446978717,0.5080772322881807
